dataset_name,is_vision,is_grounding,base_weight,upweight_weight,weight_changed,packed_rows,base_samples_seen,upweight_samples_seen,base_epochs,upweight_epochs,gcs_path
openbee_honey_caption_pixmo_cap_v1_en,True,False,0.05699482631762654,0.05699482631762654,False,205141,116725.4,116725.4,0.569,0.569,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_caption_pixmo_cap_v1_en/train_seq_len_8193/
openbee_honey_general_allava_v1_en,True,False,0.05597284001666678,0.05597284001666678,False,198530,114632.4,114632.4,0.5774,0.5774,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_allava_v1_en/train_seq_len_8193/
openbee_honey_chart_tinychart_v1_en,True,False,0.055118507933813204,0.055118507933813204,False,191479,112882.7,112882.7,0.5895,0.5895,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_tinychart_v1_en/train_seq_len_8193/
openbee_honey_general_svit_mix_665k_v1_en,True,False,0.04072588641004065,0.04072588641004065,False,142993,83406.6,83406.6,0.5833,0.5833,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_svit_mix_665k_v1_en/train_seq_len_8193/
openbee_honey_chart_cosyn_chart_v1_en,True,False,0.03916177117523845,0.03916177117523845,False,134022,80203.3,80203.3,0.5984,0.5984,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_cosyn_chart_v1_en/train_seq_len_8193/
openbee_honey_caption_wit_v1_en,True,False,0.03690787858594233,0.03690787858594233,False,130536,75587.3,75587.3,0.5791,0.5791,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_caption_wit_v1_en/train_seq_len_8193/
openbee_honey_ocr_arxiv_ocr_v1_en,True,False,0.03341869844676819,0.03341869844676819,False,111085,68441.5,68441.5,0.6161,0.6161,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_ocr_arxiv_ocr_v1_en/train_seq_len_8193/
openbee_honey_caption_coyo_recaption_v1_en,True,False,0.031656215868189966,0.031656215868189966,False,116342,64831.9,64831.9,0.5573,0.5573,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_caption_coyo_recaption_v1_en/train_seq_len_8193/
openbee_honey_document_ureader_chart_v1_en,True,False,0.03106646750096946,0.03106646750096946,False,109300,63624.1,63624.1,0.5821,0.5821,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_document_ureader_chart_v1_en/train_seq_len_8193/
openbee_honey_general_llava_instruct_300k_v1_en,True,False,0.02855306308835271,0.02855306308835271,False,99894,58476.7,58476.7,0.5854,0.5854,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_llava_instruct_300k_v1_en/train_seq_len_8193/
openbee_honey_general_idefics375k_v1_en,True,False,0.02397117192763959,0.02397117192763959,False,82065,49093.0,49093.0,0.5982,0.5982,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_idefics375k_v1_en/train_seq_len_8193/
openbee_honey_chart_unichart_v1_en,True,False,0.022239966018321504,0.022239966018321504,False,78418,45547.5,45547.5,0.5808,0.5808,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_unichart_v1_en/train_seq_len_8193/
openbee_honey_chart_arxivqa_v1_en,True,False,0.020888588488847292,0.020888588488847292,False,73305,42779.8,42779.8,0.5836,0.5836,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_arxivqa_v1_en/train_seq_len_8193/
openbee_honey_general_llava_next_data_v1_en,True,False,0.01926445586168104,0.01926445586168104,False,69703,39453.6,39453.6,0.566,0.566,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_llava_next_data_v1_en/train_seq_len_8193/
openbee_honey_general_pixmo_capqa_v1_en,True,False,0.016096777340757543,0.016096777340757543,False,57244,32966.2,32966.2,0.5759,0.5759,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_pixmo_capqa_v1_en/train_seq_len_8193/
gpt_oss_sft_task_force_code_nov_14,False,False,0.015800487899464463,0.015800487899464463,False,,32359.4,32359.4,,,gs://cohere-command/data/generated_jsonl_data/gpt_oss_sft_task_force_code_nov_14/2025_11_14/training_formats/tfrecord-v3.0.2_chat_turns_renderer_v4.2_RemoveReasoningTraces_988f8683cc3c_FilterByCharacterLength_cf247a8dba17_r2l255k+chat+agents3+img+remap+response+text+delimit_8192_pack-heapq_pack-test-heapq_maxpackedinrow-128/train/tfrecords
openbee_honey_general_vision_flan_v1_en,True,False,0.014537733998267802,0.014537733998267802,False,52783,29773.3,29773.3,0.5641,0.5641,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_vision_flan_v1_en/train_seq_len_8193/
