dataset_name,is_vision,is_grounding,base_weight,upweight_weight,weight_changed,packed_rows,base_samples_seen,upweight_samples_seen,base_epochs,upweight_epochs,balanced_weight,balanced_samples_seen,balanced_epochs,gcs_path
openbee_honey_grounding_and_counting_clevr_v1_en,True,True,0.006247162469969289,0.0031235812349846444,True,22844,12794.2,6397.1,0.5601,0.28,0.012685760570311455,25980.4,1.1373,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_clevr_v1_en/train_seq_len_8193/
openbee_honey_general_lvis_instructv4_v1_en,True,True,0.0056097946693707355,0.0056097946693707355,False,19913,11488.9,11488.9,0.577,0.577,0.006019725753048631,12328.4,0.6191,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_lvis_instructv4_v1_en/train_seq_len_8193/
clevr_math_train,True,True,0.003939616755456463,0.0,True,22752,8068.3,0.0,0.3546,0.0,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/clevr_math_train/train_seq_len_8193
pixmo_point_expl,True,True,0.003689025114705067,0.0221341506882304,True,17941,7555.1,45330.7,0.4211,2.5267,0.003689025114705067,7555.1,0.4211,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/pixmo_point_expl/train_seq_len_8193
openbee_honey_general_pixmo_points_explanations_v1_en,True,True,0.0029946706387097384,0.01796802383225843,True,10798,6133.1,36798.5,0.568,3.4079,0.0029946706387097384,6133.1,0.568,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_pixmo_points_explanations_v1_en/train_seq_len_8193/
openbee_honey_grounding_and_counting_visualgenome_v1_en,True,True,0.002433662994593151,0.00627978515625,True,8574,4984.1,12861.0,0.5813,1.5,0.0033348817351445134,6829.8,0.7966,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_visualgenome_v1_en/train_seq_len_8193/
the_cauldron_localized_narratives,True,True,0.002049721320026539,0.002049721320026539,False,38743,4197.8,4197.8,0.1084,0.1084,0.002049721320026539,4197.8,0.1084,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/the_cauldron_localized_narratives/train_seq_len_8193
cambrian_10m_tallyqa,True,True,0.0014855028723331678,0.01676220703125,True,22886,3042.3,34329.0,0.1329,1.5,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/cambrian_10m_tallyqa/train_seq_len_8193
openbee_honey_grounding_and_counting_tqa_v1_en,True,True,0.0014466163962303159,0.003765380859375,True,5141,2962.7,7711.5,0.5763,1.5,0.0014466163962303159,2962.7,0.5763,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_tqa_v1_en/train_seq_len_8193/
openbee_honey_general_iconqa_v1_en,True,True,0.0013088299884086126,0.0013088299884086126,False,4625,2680.5,2680.5,0.5796,0.5796,0.00134255215052026,2749.5,0.5945,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_iconqa_v1_en/train_seq_len_8193/
cambrian_10m_clevr,True,True,0.0012766730636314331,0.0,True,29510,2614.6,0.0,0.0886,0.0,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/cambrian_10m_clevr/train_seq_len_8193
openbee_honey_general_sharegpt4v_sam_v1_en,True,True,0.0011933035524026854,0.0011933035524026854,False,4281,2443.9,2443.9,0.5709,0.5709,0.0015440260505641826,3162.2,0.7387,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_sharegpt4v_sam_v1_en/train_seq_len_8193/
